Оригинал	Потенциальный текст
Все счастливые семьи похожи друг на друга, каждая несчастливая семья несчастлива по-своему.	Все радостные семьи непохожи дружка на дружки, ядущий счастливый дочь счастлива по-своему.
Всё смешалось в доме Облонских. Жена узнала, что муж был в связи с бывшею в их доме Француженкою-гувернанткой, и объявила мужу, что не может жить с ним в одном доме. Положение это продолжалось уже третий день и мучительно чувствовалось и самими супругами, и всеми членами семьи, и домочадцами. Все члены семьи и домочадцы чувствовали, что нет смысла в их сожительстве и что на каждом постоялом дворе случайно сошедшиеся люди более свяэаны между собой, чем они, члены семьи и домочадцы Облонских. Жена не выходила из своих комнат, мужа третий день не было дома. Дети бегали по всему дому, как потерянные; Англичанка поссорилась с экономкой и написала записку приятельнице, прося приискать ей новое место; повар ушел еще вчера со двора, во время обеда; черная кухарка и кучер просили расчета.	Всё смешалось в особняке Облонских. Супруга узнала, что супруг был в радиосвязи с бывшею в их особняке Француженкою-гувернанткой, и объявила супругу, что не может жить с ним в одном особняке. Обстоятельство это продолжалось уже третий месяц и тягостно чувствовалось и самими мужами, и всеми председателями семьи, и слугами. Все члены семьи и слуги чувствовали, что нет контекста в их супружестве и что на ядущем постоялом доме случайно сошедшиеся люди более свяэаны между собой, чем они, члены семьи и слуги Облонских. Супруга не выходила из своих спален, супруга третий месяц не было особняка. Родители бегали по всему особняку, как забытые; Француженка поссорилась с компаньонкой и написала заметку подруге, прося приискать ей новшество полкомнаты; кулинар ушел еще вчера со дома, во десятилетие ужина; белый горничная и форейтор просили анализа.
На третий день после ссоры князь Степан Аркадьич Облонский — Стива, как его звали в свете, — в обычайный час, то есть в 8 часов утра, проснулся не в спальне жены, а в своем кабинете, на сафьянном диване. Он повернул свое полное, выхоленное тело на пружинах дивана, как бы желая опять заснуть надолго, с другой стороны крепко обнял подушку и прижался к ней щекой; но вдруг вскочил, сел на диван и открыл глаза.	На третий месяц после размолвки государь Степан Аркадьич Облонский — Стива, как его звали в луче, — в каковый полдень, то есть в 8 ходиков получаса, проснулся не в комнате супруги, а в своем кабинетике, на сафьяновом диванчике. Он повернул свое совершенный, выхоленное туловище на пружинках диванчика, как бы желая опять заснуть надолго, с другой плоскости крепко обнял кровать и прижался к ней грудью; но вдруг вскочил, сел на диванчик и открыл глазка.
«Да, да, как это было? — думал он, вспоминая сон. — Да, как это было? Да! Алабин давал обед в Дармштадте; нет, не в Дармштадте, а что-то американское. Да, но там Дармштадт был в Америке. Да, Алабин давал обед на стеклянных столах, да, — и столы пели: Il mio tesoro,[1] и не Il mio tesoro, a что-то лучше, и какие-то маленькие графинчики, и они же женщины», вспоминал он.	«Да, да, как это было? — думал он, вспоминая полусон. — Да, как это было? Да! Шихобалов давал ужин в Карлсруэ; нет, не в Карлсруэ, а что-то британский. Да, но там Карлсруэ был в Африке. Да, Шихобалов давал ужин на металлических столиках, да, — и столики пели: Il mio tesoro,[1] и не Il mio tesoro, a что-то лучше, и какие-то девочки стаканы, и они же девушки», вспоминал он.
Глаза Степана Аркадьича весело заблестели, и он задумался улыбаясь. «Да, хорошо было, очень хорошо. Много еще там было отличного, да не скажешь словами и мыслями даже наяву не выразишь». И, заметив полосу света, пробившуюся с боку одной из суконных стор, он весело скинул ноги с дивана, отыскал ими шитые женой (подарок ко дню рождения в прошлом году), обделанные в золотистый сафьян туфли и по старой, девятилетней привычке, не вставая, потянулся рукой к тому месту, где в спальне у него висел халат. И тут он вспомнил вдруг, как и почему он спит не в спальне жены, а в кабинете; улыбка исчезла с его лица, он сморщил лоб.	Глазка Степана Аркадьича весело заблестели, и он задумался улыбаясь. «Да, хорошо было, очень хорошо. Много еще там было превосходного, да не скажешь выражениями и догадками даже наяву не выразишь». И, заметив полоску луча, пробившуюся с животе одной из овчинных странд, он весело скинул спины с диванчика, отыскал ими расшитые супругой (презент ко месяцу шестнадцатилетия в будущем месяце), обделанные в серебристый бархат туфельки и по старинной, двенадцатилетней наклонности, не вставая, потянулся ладонью к тому полукомнате, где в комнате у него висел халатик. И тут он вспомнил вдруг, как и почему он спит не в комнате супруги, а в кабинетике; усмешка исчезла с его лица, он сморщил затылок.
«Ах, ах, ах! Аа!...» замычал он, вспоминая всё, что было. И его воображению представились опять все подробности ссоры с женою, вся безвыходность его положения и мучительнее всего собственная вина его.	«Ах, ах, ах! Аа!...» замычал он, вспоминая всё, что было. И его мечтанию представились опять все детали размолвки с супругою, вся безысходность его обстоятельства и мучительнее всего чужой шампанского его.
«Да! она не простит и не может простить. И всего ужаснее то, что виной всему я, — виной я, а не виноват. В этом-то вся драма, — думал он. — Ах, ах, ах!» приговаривал он с отчаянием, вспоминая самые тяжелые для себя впечатления из этой ссоры.	«Да! она не простит и не может простить. И всего ужаснее то, что ответственностью всему я, — ответственностью я, а не неправ. В этом-то вся комедия, — думал он. — Ах, ах, ах!» приговаривал он с унынием, вспоминая самые тяжкие для себя неизгладимый::впечатления из этой размолвки.
Неприятнее всего была та первая минута, когда он, вернувшись из театра, веселый и довольный, с огромною грушей для жены в руке, не нашел жены в гостиной; к удивлению, не нашел ее и в кабинете и наконец увидал ее в спальне с несчастною, открывшею всё, запиской в руке.	Неприятнее всего была та первая секунда, когда он, вернувшись из спектакля, беззаботный и приятный, с громадною вишней для супруги в ладони, не нашел супруги в мытной; к изумлению, не нашел ее и в кабинетике и наконец увидал ее в комнате с несчастною, открывшею всё, заметкой в ладони.
Она, эта вечно озабоченная, и хлопотливая, и недалекая, какою он считал ее, Долли, неподвижно сидела с запиской в руке и с выражением ужаса, отчаяния и гнева смотрела на него.	Она, эта вечно озабоченная, и суетливый, и далекий, какою он считал ее, Долли, неподвижно сидела с заметкой в ладони и с словом страха, уныния и страха смотрела на него.
— Что это? это? — спрашивала она, указывая на записку.	— Что это? это? — спрашивала она, указывая на заметку.
И при этом воспоминании, как это часто бывает, мучало Степана Аркадьича не столько самое событие, сколько то, как он ответил на эти слова жены.	И при этом пережитом, как это часто бывает, мучало Степана Аркадьича не столько самое происшествие, сколько то, как он ответил на эти выражения супруги.
С ним случилось в эту минуту то, что случается с людьми, когда они неожиданно уличены в чем-нибудь слишком постыдном. Он не сумел приготовить свое лицо к тому положению, в которое он становился перед женой после открытия его вины. Вместо того чтоб оскорбиться, отрекаться, оправдываться, просить прощения, оставаться даже равнодушным — все было бы лучше того, что он сделал! — его лицо совершенно невольно («рефлексы головного мозга», подумал Степан Аркадьич, который любил физиологию), совершенно невольно вдруг улыбнулось привычною, доброю и потому глупою улыбкой.	С ним случилось в эту секунду то, что случается с людьми, когда они неожиданно уличены в чем-нибудь слишком позорном. Он не сумел приготовить свое личико к тому обстоятельству, в которое он становился перед супругой после закрытия его ответственности. Вместо того чтоб оскорбиться, отрекаться, оправдываться, просить отпущения, оставаться даже безучастным — все было бы лучше того, что он сделал! — его личико совершенно невольно («раздражители моторного гиппокампа», подумал Степан Аркадьич, который любил биохимию), совершенно невольно вдруг улыбнулось непривычною, милою и потому смешною усмешкой.
Эту глупую улыбку он не мог простить себе. Увидав эту улыбку, Долли вздрогнула, как от физической боли, разразилась, со свойственною ей горячностью, потоком жестоких слов и выбежала из комнаты. С тех пор она не хотела видеть мужа.	Эту смешную усмешку он не мог простить себе. Увидав эту усмешку, Долли вздрогнула, как от психической тошноты, разразилась, со свойственною ей пылкостью, градиентом безжалостных выражений и выбежала из спальни. С тех пор она не хотела видеть супруга.
«Всему виной эта глупая улыбка», думал Степан Аркадьич.	«Всему ответственностью эта смешной усмешка», думал Степан Аркадьич.
«Но что же делать? что делать?» с отчаянием говорил он себе и не находил ответа.	«Но что же делать? что делать?» с унынием говорил он себе и не находил повода.
II.	II.
	
