Оригинал	Потенциальный текст
Все семьи на по-своему.	Все счастливые семьи похожи друг на друга, каждая несчастливая семья несчастлива по-своему.
Всё перемешалось в Облонских. узнала, что был в с бывшею в их Француженкою-гувернанткой, и объявила что не значит проживать с ним в одном это длилось уже третий и ощущалось и самими и всеми семьи, и Все члены семьи и почувствовали, что нет в их и что на постоялом случайно сошедшиеся люди более свяэаны между собой, чем они, члены семьи и Облонских. не выводила из своих третий не было ходили по всему как поссорилась с и написала прося приискать ей ушел еще вчера со во и попросили	Всё смешалось в доме Облонских. Жена узнала, что муж был в связи с бывшею в их доме Француженкою-гувернанткой, и объявила мужу, что не может жить с ним в одном доме. Положение это продолжалось уже третий день и мучительно чувствовалось и самими супругами, и всеми членами семьи, и домочадцами. Все члены семьи и домочадцы чувствовали, что нет смысла в их сожительстве и что на каждом постоялом дворе случайно сошедшиеся люди более свяэаны между собой, чем они, члены семьи и домочадцы Облонских. Жена не выходила из своих комнат, мужа третий день не было дома. Дети бегали по всему дому, как потерянные; Англичанка поссорилась с экономкой и написала записку приятельнице, прося приискать ей новое место; повар ушел еще вчера со двора, во время обеда; черная кухарка и кучер просили расчета.
На третий после Степан Аркадьич Облонский — Стива, как его позвали в — в то есть в 8 проснулся не в а в своем на Он повернул свое выхоленное на как бы хотя опять уснуть надолго, с другой крепко обнял и прижался к ней но вдруг вскочил, сел на и открыл	На третий день после ссоры князь Степан Аркадьич Облонский — Стива, как его звали в свете, — в обычайный час, то есть в 8 часов утра, проснулся не в спальне жены, а в своем кабинете, на сафьянном диване. Он повернул свое полное, выхоленное тело на пружинах дивана, как бы желая опять заснуть надолго, с другой стороны крепко обнял подушку и прижался к ней щекой; но вдруг вскочил, сел на диван и открыл глаза.
«Да, да, как это было? — подумал он, вспоминая — Да, как это было? Да! получал в нет, не в а что-то Да, но там был в Да, получал на да, — и распевали: Il mio tesoro,[1] и не Il mio tesoro, a что-то лучше, и какие-то и они же вспомнил он.	«Да, да, как это было? — думал он, вспоминая сон. — Да, как это было? Да! Алабин давал обед в Дармштадте; нет, не в Дармштадте, а что-то американское. Да, но там Дармштадт был в Америке. Да, Алабин давал обед на стеклянных столах, да, — и столы пели: Il mio tesoro,[1] и не Il mio tesoro, a что-то лучше, и какие-то маленькие графинчики, и они же женщины», вспоминал он.
Степана Аркадьича весело засверкали, и он задумался усмехаясь. «Да, хорошо было, очень хорошо. Много еще там было да не скажешь и даже наяву не выразишь». И, заметив пробившуюся с одной из он весело скинул с отыскал ими ко в обделанные в и по не вскакивая, зашевелился к тому где в у него торчал И тут он вспомнил вдруг, как и почему он спит не в а в исчезла с его лица, он сморщил	Глаза Степана Аркадьича весело заблестели, и он задумался улыбаясь. «Да, хорошо было, очень хорошо. Много еще там было отличного, да не скажешь словами и мыслями даже наяву не выразишь». И, заметив полосу света, пробившуюся с боку одной из суконных стор, он весело скинул ноги с дивана, отыскал ими шитые женой (подарок ко дню рождения в прошлом году), обделанные в золотистый сафьян туфли и по старой, девятилетней привычке, не вставая, потянулся рукой к тому месту, где в спальне у него висел халат. И тут он вспомнил вдруг, как и почему он спит не в спальне жены, а в кабинете; улыбка исчезла с его лица, он сморщил лоб.
«Ах, ах, ах! Аа!...» заскулил он, вспоминая всё, что было. И его представились опять все с вся его и мучительнее всего его.	«Ах, ах, ах! Аа!...» замычал он, вспоминая всё, что было. И его воображению представились опять все подробности ссоры с женою, вся безвыходность его положения и мучительнее всего собственная вина его.
«Да! она не простит и не значит простить. И всего ужаснее то, что всему я, — я, а не В этом-то вся — подумал он. — Ах, ах, ах!» осуждал он с вспоминая самые для себя из этой	«Да! она не простит и не может простить. И всего ужаснее то, что виной всему я, — виной я, а не виноват. В этом-то вся драма, — думал он. — Ах, ах, ах!» приговаривал он с отчаянием, вспоминая самые тяжелые для себя впечатления из этой ссоры.
Неприятнее всего была та первая когда он, вернувшись из и с для в не нашел в к не нашел ее и в и наконец увидел ее в с несчастною, открывшею всё, в	Неприятнее всего была та первая минута, когда он, вернувшись из театра, веселый и довольный, с огромною грушей для жены в руке, не нашел жены в гостиной; к удивлению, не нашел ее и в кабинете и наконец увидал ее в спальне с несчастною, открывшею всё, запиской в руке.
Она, эта вечно озабоченная, и и какою он считал ее, Долли, неподвижно стояла с в и с и глядела на него.	Она, эта вечно озабоченная, и хлопотливая, и недалекая, какою он считал ее, Долли, неподвижно сидела с запиской в руке и с выражением ужаса, отчаяния и гнева смотрела на него.
— Что это? это? — сказала она, упоминая на	— Что это? это? — спрашивала она, указывая на записку.
